pathway	gene_id
Aminoacyl-tRNA biosynthesis	gene_5619
Aminoacyl-tRNA biosynthesis	gene_5744
Aminoacyl-tRNA biosynthesis	gene_6093
Aminoacyl-tRNA biosynthesis	gene_6189
Aminoacyl-tRNA biosynthesis	gene_6206
Aminoacyl-tRNA biosynthesis	gene_6359
Aminoacyl-tRNA biosynthesis	gene_6665
Aminoacyl-tRNA biosynthesis	gene_7062
Aminoacyl-tRNA biosynthesis	gene_7342
Aminoacyl-tRNA biosynthesis	gene_7443
Aminoacyl-tRNA biosynthesis	gene_7590
Aminoacyl-tRNA biosynthesis	gene_7604
Aminoacyl-tRNA biosynthesis	gene_7780
Aminoacyl-tRNA biosynthesis	gene_810
Aminoacyl-tRNA biosynthesis	gene_814
Aminoacyl-tRNA biosynthesis	gene_8466
Aminophosphonate metabolism	gene_152
Aminophosphonate metabolism	gene_2164
Aminophosphonate metabolism	gene_217
Aminophosphonate metabolism	gene_2806
Aminophosphonate metabolism	gene_2914
Aminophosphonate metabolism	gene_3845
Aminophosphonate metabolism	gene_4047
Aminophosphonate metabolism	gene_4242
Aminophosphonate metabolism	gene_4990
Aminophosphonate metabolism	gene_5762
Aminophosphonate metabolism	gene_6340
Aminophosphonate metabolism	gene_6684
Aminophosphonate metabolism	gene_7368
Aminophosphonate metabolism	gene_7651
Aminophosphonate metabolism	gene_7769
Aminophosphonate metabolism	gene_7789
Aminophosphonate metabolism	gene_8175
Aminosugars metabolism	gene_1033
Aminosugars metabolism	gene_1107
Aminosugars metabolism	gene_1184
Aminosugars metabolism	gene_1198
Aminosugars metabolism	gene_174
Aminosugars metabolism	gene_1826
Aminosugars metabolism	gene_1950
Aminosugars metabolism	gene_210
Aminosugars metabolism	gene_220
Aminosugars metabolism	gene_2511
Aminosugars metabolism	gene_2711
Aminosugars metabolism	gene_2960
Aminosugars metabolism	gene_2967
Aminosugars metabolism	gene_3313
Aminosugars metabolism	gene_3342
Aminosugars metabolism	gene_4052
Aminosugars metabolism	gene_4195
Aminosugars metabolism	gene_430
Aminosugars metabolism	gene_4344
Aminosugars metabolism	gene_4386
Aminosugars metabolism	gene_4490
Aminosugars metabolism	gene_545
Aminosugars metabolism	gene_546
Aminosugars metabolism	gene_5497
Aminosugars metabolism	gene_6002
Aminosugars metabolism	gene_6023
Aminosugars metabolism	gene_6137
Aminosugars metabolism	gene_6330
Aminosugars metabolism	gene_6339
Aminosugars metabolism	gene_6769
Aminosugars metabolism	gene_6797
Aminosugars metabolism	gene_6920
Aminosugars metabolism	gene_7
Aminosugars metabolism	gene_7095
Aminosugars metabolism	gene_7153
Aminosugars metabolism	gene_7154
Aminosugars metabolism	gene_7156
Aminosugars metabolism	gene_7157
Aminosugars metabolism	gene_7391
Aminosugars metabolism	gene_7768
Aminosugars metabolism	gene_7819
Aminosugars metabolism	gene_7899
Aminosugars metabolism	gene_8213
Aminosugars metabolism	gene_8245
Aminosugars metabolism	gene_9
Aminosugars metabolism	gene_973
Androgen and estrogen metabolism	gene_152
Androgen and estrogen metabolism	gene_1531
Androgen and estrogen metabolism	gene_193
Androgen and estrogen metabolism	gene_2164
Androgen and estrogen metabolism	gene_2632
Androgen and estrogen metabolism	gene_2914
Androgen and estrogen metabolism	gene_4155
Androgen and estrogen metabolism	gene_4253
Androgen and estrogen metabolism	gene_4990
Androgen and estrogen metabolism	gene_5762
Androgen and estrogen metabolism	gene_5766
Androgen and estrogen metabolism	gene_6340
Androgen and estrogen metabolism	gene_6684
Androgen and estrogen metabolism	gene_7325
Androgen and estrogen metabolism	gene_7368
Androgen and estrogen metabolism	gene_7651
Androgen and estrogen metabolism	gene_7764
Androgen and estrogen metabolism	gene_7769
Androgen and estrogen metabolism	gene_7987
Androgen and estrogen metabolism	gene_8175
Arginine and proline metabolism	gene_1194
Arginine and proline metabolism	gene_1207
Arginine and proline metabolism	gene_1561
Arginine and proline metabolism	gene_1831
Arginine and proline metabolism	gene_2
Arginine and proline metabolism	gene_2029
Arginine and proline metabolism	gene_2043
Arginine and proline metabolism	gene_2059
Arginine and proline metabolism	gene_2076
Arginine and proline metabolism	gene_2272
Arginine and proline metabolism	gene_2290
Arginine and proline metabolism	gene_2300
Arginine and proline metabolism	gene_2365
Arginine and proline metabolism	gene_2418
Arginine and proline metabolism	gene_2612
Arginine and proline metabolism	gene_2628
Arginine and proline metabolism	gene_2644
Arginine and proline metabolism	gene_2656
Arginine and proline metabolism	gene_2693
Arginine and proline metabolism	gene_2941
Arginine and proline metabolism	gene_2964
Arginine and proline metabolism	gene_2977
Arginine and proline metabolism	gene_3213
Arginine and proline metabolism	gene_3447
Arginine and proline metabolism	gene_3449
Arginine and proline metabolism	gene_3494
Arginine and proline metabolism	gene_3585
Arginine and proline metabolism	gene_3608
Arginine and proline metabolism	gene_3769
Arginine and proline metabolism	gene_4034
Arginine and proline metabolism	gene_4055
Arginine and proline metabolism	gene_4139
Arginine and proline metabolism	gene_4541
Arginine and proline metabolism	gene_4567
Arginine and proline metabolism	gene_4609
Arginine and proline metabolism	gene_4675
Arginine and proline metabolism	gene_4843
Arginine and proline metabolism	gene_4978
Arginine and proline metabolism	gene_5171
Arginine and proline metabolism	gene_5230
Arginine and proline metabolism	gene_5375
Arginine and proline metabolism	gene_5515
Arginine and proline metabolism	gene_5610
Arginine and proline metabolism	gene_5665
Arginine and proline metabolism	gene_5827
Arginine and proline metabolism	gene_6196
Arginine and proline metabolism	gene_6318
Arginine and proline metabolism	gene_6365
Arginine and proline metabolism	gene_6438
Arginine and proline metabolism	gene_6501
Arginine and proline metabolism	gene_6523
Arginine and proline metabolism	gene_6779
Arginine and proline metabolism	gene_7028
Arginine and proline metabolism	gene_7072
Arginine and proline metabolism	gene_7085
Arginine and proline metabolism	gene_7357
Arginine and proline metabolism	gene_7384
Arginine and proline metabolism	gene_7839
Arginine and proline metabolism	gene_7944
Arginine and proline metabolism	gene_7989
Arginine and proline metabolism	gene_7998
Arginine and proline metabolism	gene_8120
Arginine and proline metabolism	gene_8128
Arginine and proline metabolism	gene_8158
Arginine and proline metabolism	gene_8368
Arginine and proline metabolism	gene_8370
Arginine and proline metabolism	gene_8389
Arginine and proline metabolism	gene_8589
Arginine and proline metabolism	gene_883
Ascorbate and aldarate metabolism	gene_1207
Ascorbate and aldarate metabolism	gene_1211
Ascorbate and aldarate metabolism	gene_1403
Ascorbate and aldarate metabolism	gene_1514
Ascorbate and aldarate metabolism	gene_168
Ascorbate and aldarate metabolism	gene_1743
Ascorbate and aldarate metabolism	gene_184
Ascorbate and aldarate metabolism	gene_2043
Ascorbate and aldarate metabolism	gene_2937
Ascorbate and aldarate metabolism	gene_3213
Ascorbate and aldarate metabolism	gene_3223
Ascorbate and aldarate metabolism	gene_330
Ascorbate and aldarate metabolism	gene_3447
Ascorbate and aldarate metabolism	gene_3449
Ascorbate and aldarate metabolism	gene_3671
Ascorbate and aldarate metabolism	gene_3867
Ascorbate and aldarate metabolism	gene_4055
Ascorbate and aldarate metabolism	gene_4108
Ascorbate and aldarate metabolism	gene_4337
Ascorbate and aldarate metabolism	gene_4567
Ascorbate and aldarate metabolism	gene_5065
Ascorbate and aldarate metabolism	gene_5173
Ascorbate and aldarate metabolism	gene_6198
Ascorbate and aldarate metabolism	gene_6267
Ascorbate and aldarate metabolism	gene_6483
Ascorbate and aldarate metabolism	gene_662
Ascorbate and aldarate metabolism	gene_7135
Ascorbate and aldarate metabolism	gene_7242
Ascorbate and aldarate metabolism	gene_7355
Ascorbate and aldarate metabolism	gene_7580
Ascorbate and aldarate metabolism	gene_7693
Ascorbate and aldarate metabolism	gene_7957
Ascorbate and aldarate metabolism	gene_8033
Ascorbate and aldarate metabolism	gene_8522
Ascorbate and aldarate metabolism	gene_8589
Ascorbate and aldarate metabolism	gene_900
Ascorbate and aldarate metabolism	gene_972
Atrazine degradation	gene_2068
Benzoate degradation via CoA ligation	gene_1082
Benzoate degradation via CoA ligation	gene_1107
Benzoate degradation via CoA ligation	gene_1114
Benzoate degradation via CoA ligation	gene_1399
Benzoate degradation via CoA ligation	gene_1743
Benzoate degradation via CoA ligation	gene_184
Benzoate degradation via CoA ligation	gene_2
Benzoate degradation via CoA ligation	gene_2029
Benzoate degradation via CoA ligation	gene_2365
Benzoate degradation via CoA ligation	gene_2418
Benzoate degradation via CoA ligation	gene_2629
Benzoate degradation via CoA ligation	gene_2941
Benzoate degradation via CoA ligation	gene_2964
Benzoate degradation via CoA ligation	gene_330
Benzoate degradation via CoA ligation	gene_342
Benzoate degradation via CoA ligation	gene_3441
Benzoate degradation via CoA ligation	gene_3703
Benzoate degradation via CoA ligation	gene_3769
Benzoate degradation via CoA ligation	gene_3938
Benzoate degradation via CoA ligation	gene_4064
Benzoate degradation via CoA ligation	gene_4108
Benzoate degradation via CoA ligation	gene_430
Benzoate degradation via CoA ligation	gene_4308
Benzoate degradation via CoA ligation	gene_4337
Benzoate degradation via CoA ligation	gene_484
Benzoate degradation via CoA ligation	gene_4970
Benzoate degradation via CoA ligation	gene_5009
Benzoate degradation via CoA ligation	gene_5027
Benzoate degradation via CoA ligation	gene_5036
Benzoate degradation via CoA ligation	gene_5173
Benzoate degradation via CoA ligation	gene_5347
Benzoate degradation via CoA ligation	gene_5461
Benzoate degradation via CoA ligation	gene_5481
Benzoate degradation via CoA ligation	gene_5515
Benzoate degradation via CoA ligation	gene_5573
Benzoate degradation via CoA ligation	gene_5827
Benzoate degradation via CoA ligation	gene_5936
Benzoate degradation via CoA ligation	gene_6196
Benzoate degradation via CoA ligation	gene_6198
Benzoate degradation via CoA ligation	gene_6203
Benzoate degradation via CoA ligation	gene_6534
Benzoate degradation via CoA ligation	gene_662
Benzoate degradation via CoA ligation	gene_6920
Benzoate degradation via CoA ligation	gene_6979
Benzoate degradation via CoA ligation	gene_7047
Benzoate degradation via CoA ligation	gene_7103
Benzoate degradation via CoA ligation	gene_7226
Benzoate degradation via CoA ligation	gene_7462
Benzoate degradation via CoA ligation	gene_7836
Benzoate degradation via CoA ligation	gene_7983
Benzoate degradation via CoA ligation	gene_7989
Benzoate degradation via CoA ligation	gene_7998
Benzoate degradation via CoA ligation	gene_8033
Benzoate degradation via CoA ligation	gene_8270
Benzoate degradation via CoA ligation	gene_8274
Benzoate degradation via CoA ligation	gene_8370
Benzoate degradation via CoA ligation	gene_8385
Benzoate degradation via CoA ligation	gene_8499
Benzoate degradation via CoA ligation	gene_8586
Benzoate degradation via CoA ligation	gene_873
Benzoate degradation via CoA ligation	gene_88
Benzoate degradation via CoA ligation	gene_949
Benzoate degradation via CoA ligation	gene_965
Benzoate degradation via CoA ligation	gene_972
Benzoate degradation via hydroxylation	gene_3352
Benzoate degradation via hydroxylation	gene_3938
Benzoate degradation via hydroxylation	gene_460
Benzoate degradation via hydroxylation	gene_6790
Benzoate degradation via hydroxylation	gene_6858
Benzoate degradation via hydroxylation	gene_7401
Benzoate degradation via hydroxylation	gene_7402
Benzoate degradation via hydroxylation	gene_7836
Benzoate degradation via hydroxylation	gene_7933
Benzoate degradation via hydroxylation	gene_8470
Benzoate degradation via hydroxylation	gene_8471
Benzoate degradation via hydroxylation	gene_8590
Bile acid biosynthesis	gene_1207
Bile acid biosynthesis	gene_1225
Bile acid biosynthesis	gene_1531
Bile acid biosynthesis	gene_1566
Bile acid biosynthesis	gene_1743
Bile acid biosynthesis	gene_184
Bile acid biosynthesis	gene_2043
Bile acid biosynthesis	gene_2632
Bile acid biosynthesis	gene_2633
Bile acid biosynthesis	gene_3193
Bile acid biosynthesis	gene_3212
Bile acid biosynthesis	gene_3213
Bile acid biosynthesis	gene_330
Bile acid biosynthesis	gene_3428
Bile acid biosynthesis	gene_3447
Bile acid biosynthesis	gene_3449
Bile acid biosynthesis	gene_3938
Bile acid biosynthesis	gene_4055
Bile acid biosynthesis	gene_4108
Bile acid biosynthesis	gene_4109
Bile acid biosynthesis	gene_412
Bile acid biosynthesis	gene_4253
Bile acid biosynthesis	gene_4258
Bile acid biosynthesis	gene_4337
Bile acid biosynthesis	gene_4516
Bile acid biosynthesis	gene_4567
Bile acid biosynthesis	gene_5173
Bile acid biosynthesis	gene_5766
Bile acid biosynthesis	gene_6198
Bile acid biosynthesis	gene_6533
Bile acid biosynthesis	gene_662
Bile acid biosynthesis	gene_67
Bile acid biosynthesis	gene_6790
Bile acid biosynthesis	gene_7217
Bile acid biosynthesis	gene_7401
Bile acid biosynthesis	gene_7402
Bile acid biosynthesis	gene_7764
Bile acid biosynthesis	gene_7832
Bile acid biosynthesis	gene_7836
Bile acid biosynthesis	gene_7923
Bile acid biosynthesis	gene_7933
Bile acid biosynthesis	gene_7987
Bile acid biosynthesis	gene_8033
Bile acid biosynthesis	gene_8589
Bile acid biosynthesis	gene_972
Biotin metabolism	gene_1279
Biotin metabolism	gene_1490
Biotin metabolism	gene_223
Biotin metabolism	gene_2442
Biotin metabolism	gene_3925
Biotin metabolism	gene_4163
Biotin metabolism	gene_5012
Biotin metabolism	gene_5698
Biotin metabolism	gene_6104
Biotin metabolism	gene_6377
Biotin metabolism	gene_6378
Biotin metabolism	gene_6975
Biotin metabolism	gene_7343
Biotin metabolism	gene_7909
Biotin metabolism	gene_8226
Blood group glycolipid biosynthesis - lact series	gene_1150
Blood group glycolipid biosynthesis - lact series	gene_1588
Blood group glycolipid biosynthesis - lact series	gene_1752
Blood group glycolipid biosynthesis - lact series	gene_2694
Blood group glycolipid biosynthesis - lact series	gene_3431
Blood group glycolipid biosynthesis - lact series	gene_3677
Blood group glycolipid biosynthesis - lact series	gene_3900
Blood group glycolipid biosynthesis - lact series	gene_4069
Blood group glycolipid biosynthesis - lact series	gene_4211
Blood group glycolipid biosynthesis - lact series	gene_5129
Blood group glycolipid biosynthesis - lact series	gene_5359
Blood group glycolipid biosynthesis - lact series	gene_5364
Blood group glycolipid biosynthesis - lact series	gene_5406
Blood group glycolipid biosynthesis - lact series	gene_5597
Blood group glycolipid biosynthesis - lact series	gene_592
Blood group glycolipid biosynthesis - lact series	gene_6236
Blood group glycolipid biosynthesis - lact series	gene_7865
Blood group glycolipid biosynthesis - lact series	gene_7931
Blood group glycolipid biosynthesis - lact series	gene_8301
Blood group glycolipid biosynthesis - neolact series	gene_1150
Blood group glycolipid biosynthesis - neolact series	gene_1588
Blood group glycolipid biosynthesis - neolact series	gene_1752
Blood group glycolipid biosynthesis - neolact series	gene_2694
Blood group glycolipid biosynthesis - neolact series	gene_3431
Blood group glycolipid biosynthesis - neolact series	gene_3677
Blood group glycolipid biosynthesis - neolact series	gene_3900
Blood group glycolipid biosynthesis - neolact series	gene_4069
Blood group glycolipid biosynthesis - neolact series	gene_4211
Blood group glycolipid biosynthesis - neolact series	gene_5129
Blood group glycolipid biosynthesis - neolact series	gene_5359
Blood group glycolipid biosynthesis - neolact series	gene_5364
Blood group glycolipid biosynthesis - neolact series	gene_5406
Blood group glycolipid biosynthesis - neolact series	gene_5597
Blood group glycolipid biosynthesis - neolact series	gene_592
Blood group glycolipid biosynthesis - neolact series	gene_6236
Blood group glycolipid biosynthesis - neolact series	gene_7865
Blood group glycolipid biosynthesis - neolact series	gene_7931
Blood group glycolipid biosynthesis - neolact series	gene_8301
Butanoate metabolism	gene_1107
Butanoate metabolism	gene_1114
Butanoate metabolism	gene_1207
Butanoate metabolism	gene_1399
Butanoate metabolism	gene_1743
Butanoate metabolism	gene_184
Butanoate metabolism	gene_1880
Butanoate metabolism	gene_2043
Butanoate metabolism	gene_2154
Butanoate metabolism	gene_2296
Butanoate metabolism	gene_2717
Butanoate metabolism	gene_3213
Butanoate metabolism	gene_323
Butanoate metabolism	gene_330
Butanoate metabolism	gene_342
Butanoate metabolism	gene_3447
Butanoate metabolism	gene_3449
Butanoate metabolism	gene_3710
Butanoate metabolism	gene_3938
Butanoate metabolism	gene_3956
Butanoate metabolism	gene_4055
Butanoate metabolism	gene_4065
Butanoate metabolism	gene_4108
Butanoate metabolism	gene_430
Butanoate metabolism	gene_4303
Butanoate metabolism	gene_4305
Butanoate metabolism	gene_4308
Butanoate metabolism	gene_4337
Butanoate metabolism	gene_4400
Butanoate metabolism	gene_4560
Butanoate metabolism	gene_4567
Butanoate metabolism	gene_5173
Butanoate metabolism	gene_5461
Butanoate metabolism	gene_5502
Butanoate metabolism	gene_5907
Butanoate metabolism	gene_5918
Butanoate metabolism	gene_6125
Butanoate metabolism	gene_6198
Butanoate metabolism	gene_6203
Butanoate metabolism	gene_6253
Butanoate metabolism	gene_6304
Butanoate metabolism	gene_662
Butanoate metabolism	gene_6749
Butanoate metabolism	gene_6795
Butanoate metabolism	gene_6920
Butanoate metabolism	gene_6968
Butanoate metabolism	gene_6973
Butanoate metabolism	gene_6989
Butanoate metabolism	gene_7226
Butanoate metabolism	gene_7535
Butanoate metabolism	gene_7836
Butanoate metabolism	gene_8033
Butanoate metabolism	gene_8571
Butanoate metabolism	gene_8589
Butanoate metabolism	gene_873
Butanoate metabolism	gene_972
Caprolactam degradation	gene_1436
Caprolactam degradation	gene_1514
Caprolactam degradation	gene_1864
Caprolactam degradation	gene_3214
Caprolactam degradation	gene_3274
Caprolactam degradation	gene_3964
Caprolactam degradation	gene_4620
Caprolactam degradation	gene_4941
Caprolactam degradation	gene_4956
Caprolactam degradation	gene_4967
Caprolactam degradation	gene_5622
Caprolactam degradation	gene_5649
Caprolactam degradation	gene_5800
Caprolactam degradation	gene_6158
Caprolactam degradation	gene_6213
Caprolactam degradation	gene_7013
Caprolactam degradation	gene_7580
Caprolactam degradation	gene_7693
Caprolactam degradation	gene_8522
Caprolactam degradation	gene_8625
Carbazole degradation	gene_3352
Carbazole degradation	gene_6858
Carbazole degradation	gene_8471
Carbazole degradation	gene_8590
Carbon fixation	gene_1181
Carbon fixation	gene_1194
Carbon fixation	gene_1596
Carbon fixation	gene_231
Carbon fixation	gene_246
Carbon fixation	gene_2951
Carbon fixation	gene_2953
Carbon fixation	gene_4036
Carbon fixation	gene_4448
Carbon fixation	gene_466
Carbon fixation	gene_5119
Carbon fixation	gene_5121
Carbon fixation	gene_5122
Carbon fixation	gene_5156
Carbon fixation	gene_643
Carbon fixation	gene_6431
Carbon fixation	gene_6501
Carbon fixation	gene_6707
Carbon fixation	gene_681
Carbon fixation	gene_7307
Carbon fixation	gene_7887
Carbon fixation	gene_7922
Carbon fixation	gene_8166
Chondroitin / heparan sulfate biosynthesis	gene_1150
Chondroitin / heparan sulfate biosynthesis	gene_1588
Chondroitin / heparan sulfate biosynthesis	gene_1752
Chondroitin / heparan sulfate biosynthesis	gene_2694
Chondroitin / heparan sulfate biosynthesis	gene_3431
Chondroitin / heparan sulfate biosynthesis	gene_3677
Chondroitin / heparan sulfate biosynthesis	gene_3900
Chondroitin / heparan sulfate biosynthesis	gene_4069
Chondroitin / heparan sulfate biosynthesis	gene_4211
Chondroitin / heparan sulfate biosynthesis	gene_5129
Chondroitin / heparan sulfate biosynthesis	gene_5359
Chondroitin / heparan sulfate biosynthesis	gene_5364
Chondroitin / heparan sulfate biosynthesis	gene_5406
Chondroitin / heparan sulfate biosynthesis	gene_5597
Chondroitin / heparan sulfate biosynthesis	gene_592
Chondroitin / heparan sulfate biosynthesis	gene_6236
Chondroitin / heparan sulfate biosynthesis	gene_7865
Chondroitin / heparan sulfate biosynthesis	gene_7931
Chondroitin / heparan sulfate biosynthesis	gene_8301
Citrate cycle (TCA cycle)	gene_1596
Citrate cycle (TCA cycle)	gene_231
Citrate cycle (TCA cycle)	gene_2333
Citrate cycle (TCA cycle)	gene_2383
Citrate cycle (TCA cycle)	gene_246
Citrate cycle (TCA cycle)	gene_3913
Citrate cycle (TCA cycle)	gene_3968
Citrate cycle (TCA cycle)	gene_4089
Citrate cycle (TCA cycle)	gene_4730
Citrate cycle (TCA cycle)	gene_4883
Citrate cycle (TCA cycle)	gene_7678
Citrate cycle (TCA cycle)	gene_8289
Citrate cycle (TCA cycle)	gene_8425
Citrate cycle (TCA cycle)	gene_8436
Cyanoamino acid metabolism	gene_1439
Cyanoamino acid metabolism	gene_1559
Cyanoamino acid metabolism	gene_1687
Cyanoamino acid metabolism	gene_1765
Cyanoamino acid metabolism	gene_1902
Cyanoamino acid metabolism	gene_2
Cyanoamino acid metabolism	gene_2029
Cyanoamino acid metabolism	gene_2365
Cyanoamino acid metabolism	gene_2418
Cyanoamino acid metabolism	gene_2941
Cyanoamino acid metabolism	gene_2964
Cyanoamino acid metabolism	gene_3307
Cyanoamino acid metabolism	gene_3512
Cyanoamino acid metabolism	gene_3594
Cyanoamino acid metabolism	gene_3731
Cyanoamino acid metabolism	gene_3769
Cyanoamino acid metabolism	gene_3858
Cyanoamino acid metabolism	gene_3938
Cyanoamino acid metabolism	gene_4141
Cyanoamino acid metabolism	gene_5515
Cyanoamino acid metabolism	gene_5659
Cyanoamino acid metabolism	gene_5827
Cyanoamino acid metabolism	gene_5900
Cyanoamino acid metabolism	gene_6196
Cyanoamino acid metabolism	gene_6311
Cyanoamino acid metabolism	gene_6621
Cyanoamino acid metabolism	gene_7160
Cyanoamino acid metabolism	gene_738
Cyanoamino acid metabolism	gene_7738
Cyanoamino acid metabolism	gene_7836
Cyanoamino acid metabolism	gene_7979
Cyanoamino acid metabolism	gene_7989
Cyanoamino acid metabolism	gene_7998
Cyanoamino acid metabolism	gene_8349
Cyanoamino acid metabolism	gene_8370
Cyanoamino acid metabolism	gene_8386
Cysteine metabolism	gene_1194
Cysteine metabolism	gene_2351
Cysteine metabolism	gene_3815
Cysteine metabolism	gene_4677
Cysteine metabolism	gene_5159
Cysteine metabolism	gene_533
Cysteine metabolism	gene_6501
Cysteine metabolism	gene_7590
D-Arginine and D-ornithine metabolism	gene_1107
D-Arginine and D-ornithine metabolism	gene_2059
D-Arginine and D-ornithine metabolism	gene_430
D-Arginine and D-ornithine metabolism	gene_4591
D-Arginine and D-ornithine metabolism	gene_5610
D-Arginine and D-ornithine metabolism	gene_6920
DNA polymerase	gene_1409
DNA polymerase	gene_1500
DNA polymerase	gene_2541
DNA polymerase	gene_2824
DNA polymerase	gene_2894
DNA polymerase	gene_3156
DNA polymerase	gene_3287
DNA polymerase	gene_3310
DNA polymerase	gene_3479
DNA polymerase	gene_3657
DNA polymerase	gene_4511
DNA polymerase	gene_4553
DNA polymerase	gene_4827
DNA polymerase	gene_58
DNA polymerase	gene_6064
DNA polymerase	gene_680
DNA polymerase	gene_7124
DNA polymerase	gene_74
DNA polymerase	gene_7928
DNA polymerase	gene_8319
Erythromycin biosynthesis	gene_3007
Erythromycin biosynthesis	gene_4052
Erythromycin biosynthesis	gene_6002
Erythromycin biosynthesis	gene_7
Erythromycin biosynthesis	gene_7157
Erythromycin biosynthesis	gene_7768
Erythromycin biosynthesis	gene_8213
Ethylbenzene degradation	gene_1107
Ethylbenzene degradation	gene_1901
Ethylbenzene degradation	gene_3441
Ethylbenzene degradation	gene_4025
Ethylbenzene degradation	gene_4064
Ethylbenzene degradation	gene_430
Ethylbenzene degradation	gene_4304
Ethylbenzene degradation	gene_484
Ethylbenzene degradation	gene_4970
Ethylbenzene degradation	gene_5036
Ethylbenzene degradation	gene_5936
Ethylbenzene degradation	gene_6527
Ethylbenzene degradation	gene_6552
Ethylbenzene degradation	gene_6920
Ethylbenzene degradation	gene_7462
Ethylbenzene degradation	gene_7861
Ethylbenzene degradation	gene_8586
Fatty acid biosynthesis (path 1)	gene_1406
Fatty acid biosynthesis (path 1)	gene_1440
Fatty acid biosynthesis (path 1)	gene_1892
Fatty acid biosynthesis (path 1)	gene_3066
Fatty acid biosynthesis (path 1)	gene_3211
Fatty acid biosynthesis (path 1)	gene_3439
